ProID	Priority	InTimes	RunTimes	InstrucNum	PSW	Instruc_ID	Instruc_State	Instruc_Times
1		49			0		560			15			1	1			0				30
														2			2				50
														3			1				20
														4			2				50
														5			1				20
														6			2				50
														7			1				40
														8			1				40
														9			2				50
														10			2				50
														11			1				30
														12			1				10
														13			0				30
														14			2				50
														15			1				40
2		52			160		750			19			1	1			2				50
														2			0				40
														3			1				30
														4			1				10
														5			1				30
														6			0				30
														7			2				50
														8			0				40
														9			2				50
														10			2				50
														11			2				50
														12			1				40
														13			1				40
														14			2				50
														15			2				50
														16			2				50
														17			0				20
														18			1				20
														19			2				50
3		32			340		640			18			1	1			0				40
														2			0				20
														3			0				20
														4			2				50
														5			1				20
														6			0				20
														7			2				50
														8			1				30
														9			1				10
														10			2				50
														11			2				50
														12			2				50
														13			1				20
														14			2				50
														15			0				20
														16			2				50
														17			2				50
														18			0				40
4		77			440		290			9			1	1			1				40
														2			2				50
														3			1				30
														4			0				30
														5			1				40
														6			0				30
														7			1				10
														8			1				40
														9			0				20
5		87			630		500			16			1	1			0				30
														2			0				40
														3			1				10
														4			0				10
														5			2				50
														6			0				40
														7			0				40
														8			1				10
														9			0				40
														10			0				40
														11			0				20
														12			0				40
														13			0				40
														14			0				40
														15			1				30
														16			0				20
6		23			800		190			7			1	1			1				10
														2			0				30
														3			2				50
														4			0				30
														5			0				20
														6			1				30
														7			1				20
7		112			950		160			5			1	1			1				20
														2			0				10
														3			1				40
														4			0				40
														5			2				50
8		75			1150		220			8			1	1			1				10
														2			2				50
														3			2				50
														4			1				30
														5			0				30
														6			1				10
														7			1				30
														8			1				10
9		66			1340		190			6			1	1			2				50
														2			0				10
														3			0				10
														4			0				30
														5			2				50
														6			1				40
10		64			1510		250			6			1	1			1				30
														2			2				50
														3			2				50
														4			2				50
														5			1				40
														6			1				30
